Frequency,AMPL (mV),% Amplitude,STD (mV),% STD(Ampl),RMS Error (mV),% RMS Error,RMS (Computed),PHASE (Rad),SHIFT (Rad), SHIFT (Deg),MAG STD (Rad),% STD
1054.51,1448.967813,1,5.721520627,0.003948687,27.731875,0.019139055,7.944810213,0.509375,0.009375,-3.375,0.002459347,0.002616326
1186.32,1444.741875,0.997083484,5.580627458,0.00385145,28.9175,0.01995731,11.22383541,0.5028125,0.0028125,-1.0125,0.004568034,0.004859611
1334.61,1438.877188,0.993035991,5.561710827,0.003838395,30.5834375,0.021107051,16.56443133,0.509375,0.009375,-3.375,0.002459347,0.002616326
1501.44,1442.4625,0.995510382,5.575829752,0.003848139,32.1034375,0.022156074,13.24802565,0.5071875,0.0071875,-2.5875,0.004568034,0.004859611
1689.12,1442.795,0.995739855,5.695856445,0.003930975,33.6646875,0.023233565,12.99930789,0.51,0.01,-3.6,0,0
1900.26,1440.095938,0.993877107,5.495265915,0.003792538,35.7275,0.024657207,15.3980259,0.5075,0.0075,-2.7,0.004399413,0.004680227
2137.79,1439.186563,0.993249505,5.603473352,0.003867217,38.7140625,0.026718373,16.28766847,0.5090625,0.0090625,-3.2625,0.002961446,0.003150474
2405.02,1441.478125,0.994831019,5.519730847,0.003809423,42.0553125,0.029024325,14.12501972,0.515625,0.015625,-5.625,0.005040161,0.005361874
2705.64,1439.345313,0.993359066,5.568624655,0.003843167,45.90625,0.031682036,16.12663469,0.51,0.01,-3.6,0,0
3043.85,1443.732813,0.996387083,5.591959801,0.003859271,49.551875,0.034198051,12.11495165,0.519375,0.019375,-6.975,0.003535534,0.003761206
3424.33,1443.134375,0.995974074,5.599801804,0.003864683,54.518125,0.037625491,12.65231152,0.51,0.01,-3.6,0,0
3852.37,1441.490313,0.99483943,5.471325536,0.003776016,60.3946875,0.04168118,14.0949418,0.52,0.02,-7.2,2.27094E-08,2.41589E-08
4333.92,1438.050313,0.992465326,5.572143553,0.003845595,66.9090625,0.046177052,17.3488736,0.52,0.02,-7.2,2.27094E-08,2.41589E-08
4875.66,1438.715313,0.992924273,5.562957547,0.003839255,74.3571875,0.051317349,16.71741214,0.5109375,0.0109375,-3.9375,0.005303301,0.005641809
5485.12,1438.68875,0.992905941,5.62893375,0.003884789,82.6,0.057006097,16.76450034,0.52,0.02,-7.2,2.27094E-08,2.41589E-08
6170.76,1436.859063,0.991643189,5.55886816,0.003836433,91.6571875,0.063256883,18.4769709,0.52,0.02,-7.2,2.27094E-08,2.41589E-08
6942.1,1433.686563,0.989453699,5.634513237,0.003888639,102.5371875,0.070765677,21.54332339,0.52,0.02,-7.2,2.27094E-08,2.41589E-08
7809.86,1432.087813,0.988350328,5.569821179,0.003843992,114.6103125,0.079097901,23.07450907,0.55,0.05,-18,0,0
