freqs,AMPL (mV),% Amplitude,STD (mV),% STD(Ampl),RMS Error (mV),% RMS Error,RMS (Computed),PHASE (Rad),SHIFT (Rad), SHIFT (Deg),MAG STD (Rad),% STD
228.07,1468.951205,1,8.752278877,0.005958182,18.01049107,0.012260782,16.91207172,0.5,0,0,0.244739661,0.339916196
256.58,1427.503125,0.971783896,8.608539043,0.00586033,18.40397321,0.012528648,28.31711018,0.5,0,0,0.2313577,0.321330139
288.65,1460.320759,0.994124756,8.659515353,0.005895033,18.59955357,0.012661791,10.44517453,0.5,0,0,0.228451532,0.296690301
324.73,1422.679286,0.968500029,8.415677258,0.005729038,18.42258929,0.012541321,32.89542602,0.5,0,0,0.219513687,0.28508271
365.32,1460.849107,0.994484433,8.796373494,0.0059882,18.71723214,0.012741902,10.86009726,0.5,0,0,0.199093075,0.258562435
410.99,1451.713482,0.988265285,8.600104568,0.005854588,19.18741071,0.01306198,9.034125283,0.5,0,0,0.184044879,0.239019324
462.36,1434.399777,0.976478845,8.583744803,0.005843451,19.41272321,0.013215363,21.83794952,0.5,0,0,0.160513969,0.195748742
520.16,1431.585714,0.97456315,8.600293061,0.005854717,20.10316964,0.01368539,24.45635621,0.5,0,0,0.146066704,0.157060972
585.18,1434.482009,0.976534825,8.537217071,0.005811777,20.38446429,0.013876883,21.74405027,0.500283019,0.000283019,-0.101886792,0.1129126,0.121411398
658.33,1445.969777,0.984355213,8.589475646,0.005847353,21.30325893,0.01450236,12.09144288,0.500095238,9.52381E-05,-0.034285714,0.121328561,0.130460819
740.62,1452.349375,0.988698174,8.741572934,0.005950894,21.90598214,0.014912668,8.997480773,0.500138249,0.000138249,-0.049769585,0.087222873,0.093788035
833.19,1436.281652,0.977759946,8.609344149,0.005860878,23.00897321,0.015663538,20.13208098,0.500089286,8.92857E-05,-0.032142857,0.00094279,0.001013753
937.34,1444.451161,0.983321403,8.639844682,0.005881642,24.2221875,0.016489443,13.23724041,0.505,0.005,-1.8,0.047871558,0.050927189
1054.51,1449.077723,0.986470972,8.635416785,0.005878627,25.85982143,0.017604275,10.18602069,0.507678571,0.007678571,-2.764285714,0.004231452,0.004501545
1186.32,1444.929018,0.983646708,8.600436214,0.005854814,27.56102679,0.018762384,12.85257807,0.500178571,0.000178571,-0.064285714,0.001327287,0.001412008
1334.61,1439.349286,0.979848262,8.622935026,0.00587013,29.59035714,0.020143867,17.41532438,0.509776786,0.009776786,-3.519642857,0.001480576,0.001575081
1501.44,1443.620313,0.982755797,8.679674954,0.005908756,31.97691964,0.021768538,13.90214264,0.50375,0.00375,-1.35,0.004852072,0.005161779
1689.12,1443.284509,0.982527196,8.685438447,0.00591268,34.72875,0.023641868,14.16953991,0.51,0.01,-3.6,1.89161E-15,2.01235E-15
1900.26,1441.035714,0.980996312,8.683351083,0.005911259,38.10419643,0.025939729,16.00466821,0.504508929,0.004508929,-1.623214286,0.004986971,0.005305288
2137.79,1440.22433,0.980443956,8.686234845,0.005913222,41.81691964,0.028467194,16.69355543,0.508705357,0.008705357,-3.133928571,0.00336465,0.003579415
2405.02,1442.224241,0.98180541,8.706475161,0.005927001,46.04272321,0.031343943,15.03350713,0.512991071,0.012991071,-4.676785714,0.004588923,0.004881833
2705.64,1439.924955,0.980240154,8.685500365,0.005912722,50.83383929,0.034605533,16.94954988,0.51,0.01,-3.6,1.89161E-15,2.01235E-15
3043.85,1444.220357,0.983164282,8.72962601,0.005942761,56.4021875,0.038396229,13.47095549,0.52,0.02,-7.2,1.00144E-15,1.06536E-15
3424.33,1443.602054,0.982743367,8.741721479,0.005950995,62.58933036,0.042608175,13.95519304,0.51,0.01,-3.6,1.89161E-15,2.01235E-15
3852.37,1442.01058,0.981659959,8.751740025,0.005957815,69.7765625,0.04750094,15.23415176,0.52,0.02,-7.2,1.00144E-15,1.06536E-15
4333.92,1438.322813,0.979149482,8.760028239,0.005963458,77.979375,0.053085068,18.37914042,0.52,0.02,-7.2,1.00144E-15,1.06536E-15
4875.66,1439.088393,0.979670657,8.827104818,0.006009121,87.133125,0.059316555,17.74314938,0.510803571,0.010803571,-3.889285714,0.004854547,0.005164411
5485.12,1438.612366,0.979346598,8.906229453,0.006062985,97.51125,0.066381545,18.19622844,0.52,0.02,-7.2,1.00144E-15,1.06536E-15
6170.76,1436.543527,0.97793822,8.875047177,0.006041758,109.1431696,0.074300065,20.01208469,0.52,0.02,-7.2,1.00144E-15,1.06536E-15
6942.1,1433.066696,0.97557134,8.955982382,0.006096855,122.3969196,0.083322659,23.21075592,0.52,0.02,-7.2,1.00144E-15,1.06536E-15
7809.86,1430.82308,0.974043981,9.039486417,0.006153701,137.2321429,0.093421853,25.32512906,0.55,0.05,-18,2.00288E-15,2.13072E-15
8786.1,1426.563884,0.9711445,9.093081863,0.006190186,153.914375,0.104778412,29.35972878,0.53,0.03,-10.8,8.90168E-16,9.46987E-16
9884.36,1421.68183,0.967821004,9.19625015,0.006260419,172.5828571,0.117487127,34.06304374,0.54,0.04,-14.4,2.55923E-15,2.72259E-15
11119.9,1416.767009,0.964475201,9.404581723,0.006402242,192.8740625,0.131300524,38.86792833,0.56,0.06,-21.6,1.55779E-15,1.65723E-15
12509.89,1408.845893,0.959082839,9.705223784,0.006606907,216.5136607,0.147393365,46.6547222,0.56,0.06,-21.6,1.55779E-15,1.65723E-15
