Frequency,AMPL (mV),% Amplitude,STD (mV),% STD(Ampl),RMS Error (mV),% RMS Error,RMS (Computed),PHASE (Rad),SHIFT (Rad), SHIFT (Deg),MAG STD (Rad),% STD
1054.51,1454.484167,1,1.334843736,0.000917744,32.458125,0.022315901,1.334850239,0.506041667,0.006041667,-2.175,0.00494204,0.005257489
1186.32,1450.526667,0.997279104,1.448716722,0.000996035,34.32083333,0.023596567,4.210418576,0.5,0,0,0,0
1334.61,1444.880625,0.993397287,1.247336578,0.00085758,35.69979167,0.024544641,9.680074841,0.508541667,0.008541667,-3.075,0.00356674,0.003794404
1501.44,1449.447708,0.996537289,1.287428972,0.000885145,38.17520833,0.026246562,5.194365484,0.501666667,0.001666667,-0.6,0.003766218,0.004006615
1689.12,1448.932292,0.996182925,1.286283182,0.000884357,40.08020833,0.027556304,5.694874202,0.51,0.01,-3.6,0,0
1900.26,1446.947292,0.99481818,1.312171726,0.000902156,43.44375,0.029868837,7.64614213,0.501875,0.001875,-0.675,0.003944428,0.0041962
2137.79,1446.192917,0.994299525,1.296591207,0.000891444,46.11416667,0.031704825,8.387901939,0.507291667,0.007291667,-2.625,0.004490929,0.004777584
2405.02,1448.313542,0.995757517,1.305336819,0.000897457,50.20416667,0.034516819,6.303103409,0.511041667,0.011041667,-3.975,0.003087093,0.003284141
2705.64,1446.025208,0.994184221,1.252705989,0.000861272,54.78270833,0.037664699,8.547091577,0.51,0.01,-3.6,0,0
3043.85,1450.567083,0.997306892,1.221908097,0.000840097,59.90104167,0.041183701,4.099265329,0.519583333,0.019583333,-7.05,0.002886751,0.003071012
3424.33,1450.074792,0.996968427,1.232370126,0.00084729,65.59083333,0.045095598,4.57434111,0.51,0.01,-3.6,0,0
3852.37,1448.779583,0.996077934,1.270722626,0.000873659,72.76875,0.050030624,5.84033271,0.52,0.02,-7.2,2.53478E-08,2.69658E-08
4333.92,1445.45,0.993788749,1.265482837,0.000870056,80.57666667,0.055398793,9.118242529,0.52,0.02,-7.2,2.53478E-08,2.69658E-08
4875.66,1446.555208,0.994548611,1.255362946,0.000863098,89.27166667,0.061376857,8.023606364,0.510625,0.010625,-3.825,0.004330127,0.004606518
5485.12,1446.626042,0.994597311,1.271296439,0.000874053,99.33,0.068292253,7.956183516,0.52,0.02,-7.2,2.53478E-08,2.69658E-08
6170.76,1445.110208,0.993555132,1.163032517,0.000799619,110.9308333,0.076268162,9.441696909,0.52,0.02,-7.2,2.53478E-08,2.69658E-08
6942.1,1442.392917,0.991686915,1.267345959,0.000871337,124.1175,0.085334377,12.15334313,0.52,0.02,-7.2,2.53478E-08,2.69658E-08
7809.86,1441.031875,0.99075116,1.302969859,0.00089583,138.8095833,0.09543561,13.51109901,0.55,0.05,-18,0,0
8786.1,1438.159375,0.988776233,1.283244568,0.000882268,155.6641667,0.107023624,16.37099621,0.53,0.03,-10.8,6.14775E-09,6.54016E-09
9884.36,1434.741875,0.986426603,1.338930435,0.000920553,174.4685417,0.119952177,19.78348587,0.54,0.04,-14.4,2.94836E-08,3.13655E-08
11119.9,1431.703333,0.984337517,1.368539109,0.00094091,195.0835417,0.134125586,22.81774405,0.56,0.06,-21.6,0,0
12509.89,1426.0575,0.980455843,1.293292845,0.000889176,219.3464583,0.150807044,28.45190877,0.56,0.06,-21.6,0,0
14073.63,1419.800208,0.976153774,1.259975497,0.00086627,246.835625,0.169706643,34.70267264,0.56,0.06,-21.6,0,0
