Frequency,AMPL (mV),% Amplitude,STD (mV),% STD(Ampl),RMS Error (mV),% RMS Error,RMS (Computed),PHASE (Rad),SHIFT (Rad), SHIFT (Deg),PHASE STD (Rad),% STD
100,9377.3115,0.984658859,653.1934412,0.068588178,8271.697,0.868564484,7949.711985,0.19,-0.31,111.6,0.265666986,0.591755303
112.5,9523.4115,1,694.5130835,0.072926922,8349.939,0.876780238,8098.765583,0.217,-0.283,101.88,0.27268837,0.607394963
126.56,9519.709,0.999611221,668.4914016,0.070194531,8395.7825,0.881594007,8092.885739,0.2175,-0.2825,101.7,0.273320229,0.608802385
142.38,9344.074,0.981168775,629.5967314,0.06611042,8280.578,0.869497028,7914.675327,0.1925,-0.3075,110.7,0.269148267,0.599509621
160.18,9324.4535,0.979108537,641.1425333,0.06732278,8228.409,0.864019055,7896.046266,0.221,-0.279,100.44,0.277714355,0.618590006
180.2,9288.5135,0.975334679,647.0174493,0.067939672,8203.354,0.86138817,7860.706868,0.221,-0.279,100.44,0.277714355,0.618590006
202.73,9172.182,0.963119361,613.7115832,0.064442409,8166.1685,0.857483529,7742.064716,0.2225,-0.2775,99.9,0.279602632,0.622796014
228.07,9332.58,0.979961855,645.8221941,0.067814165,8223.622,0.863516399,7904.526926,0.197,-0.303,109.08,0.275453693,0.613554532
256.58,9356.0665,0.982428041,652.0902082,0.068472333,8273.1025,0.868712068,7928.4482,0.197,-0.303,109.08,0.275453693,0.613554532
288.65,9261.81,0.972530694,627.7768367,0.065919323,8177.6465,0.858688769,7832.528678,0.1985,-0.3015,108.54,0.277550849,0.618225806
324.73,9121.4565,0.957792961,593.4956587,0.062319649,8113.6155,0.851965233,7689.913247,0.229,-0.271,97.56,0.287766353,0.640980152
365.32,9277.233,0.974150177,638.8456139,0.067081593,8190.2895,0.86001634,7848.795335,0.202,-0.298,107.28,0.282444219,0.629125458
410.99,9177.522,0.963680085,611.0708365,0.064165119,8129.0025,0.853580936,7747.179183,0.233,-0.267,96.12,0.292792364,0.652175254
462.36,9091.8315,0.954682206,587.7971516,0.06172128,8089.749,0.849459146,7659.93756,0.2345,-0.2655,95.58,0.294680469,0.656380881
520.16,9092.68,0.954771302,591.2621423,0.06208512,8090.9545,0.849585729,7661.0502,0.237,-0.263,94.68,0.297818383,0.663370373
585.18,9007.557,0.945833014,572.1827387,0.060081699,8045.256,0.844787186,7574.718823,0.2985,-0.2015,72.54,0.306289766,0.682239808
658.33,9007.008,0.945775366,578.4755079,0.060742467,8041.179,0.844359083,7574.649372,0.212,-0.288,103.68,0.296427856,0.660273067
740.62,8987.515,0.943728516,571.3099893,0.059990056,8035.1755,0.843728689,7554.668187,0.2135,-0.2865,103.14,0.298545157,0.664989212
833.19,8849.0145,0.929185355,532.9005136,0.055956893,7970.0645,0.836891748,7413.711852,0.2465,-0.2535,91.26,0.309758395,0.689965944
937.34,8837.847,0.928012719,529.9316167,0.055645145,7971.947,0.837089419,7402.360149,0.219,-0.281,101.16,0.306214579,0.682072333
1054.51,8765.693,0.920436232,517.3590036,0.054324966,7935.0985,0.833220165,7329.494926,0.291,-0.209,75.24,0.318745898,0.709985001
1186.32,8689.0005,0.912383183,500.4528899,0.05254975,7910.456,0.830632594,7251.809427,0.2315,-0.2685,96.66,0.309741403,0.689928096
1334.61,8573.668,0.900272765,475.4141705,0.049920574,7869.6755,0.826350463,7135.044247,0.235,-0.265,95.4,0.314600833,0.700752149
1501.44,8530.1015,0.895698091,470.1848328,0.049371471,7862.5665,0.825603987,7091.226508,0.238,-0.262,94.32,0.318823495,0.710157844
1689.12,8405.07,0.882569235,440.8555771,0.04629177,7814.9095,0.820599792,6964.557056,0.2765,-0.2235,80.46,0.334888434,0.745941412
1900.26,8281.6605,0.869610696,422.3789367,0.044351642,7778.504,0.816777055,6840.233735,0.2785,-0.2215,79.74,0.337424845,0.751591098
2137.79,8149.654,0.855749434,391.6916588,0.041129343,7735.026,0.812211674,6706.621895,0.285,-0.215,77.4,0.345611586,0.769826511
2405.02,7954.4275,0.835249795,350.6619531,0.036821044,7653.0805,0.803607037,6509.399458,0.2915,-0.2085,75.06,0.353750953,0.787956402
2705.64,7738.255263,0.812550761,302.1257965,0.031724534,7563.216316,0.794170904,6291.03422,0.236315789,-0.263684211,94.92631579,0.342267123,0.762376945
3043.85,7447.411579,0.782010898,242.2871852,0.025441218,7406.307368,0.777694775,5997.827272,0.324210526,-0.175789474,63.28421053,0.366595687,0.816567181
3424.33,7054.866316,0.740791923,142.8114072,0.014995824,7155.250526,0.751332705,5602.206885,0.293157895,-0.206842105,74.46315789,0.367499851,0.818581145
3852.37,6647.488421,0.698015456,85.02103643,0.008927582,6857.849474,0.72010429,5193.704366,0.300526316,-0.199473684,71.81052632,0.377410382,0.840656185
4333.92,6214.787895,0.652580002,98.36973962,0.010329254,6485.161053,0.68097037,4761.324171,0.352631579,-0.147368421,53.05263158,0.400788696,0.892729804
4875.66,5744.010526,0.603146312,62.46565807,0.006559168,6076.301053,0.638038276,4289.985326,0.278947368,-0.221052632,79.57894737,0.391647443,0.872368278
5485.12,5433.295263,0.570519846,125.6087496,0.01318947,5832.631053,0.612451856,3980.797465,0.384736842,-0.115263158,41.49473684,0.427451991,0.952120496
6170.76,5292.157368,0.555699748,248.7403636,0.02611883,5735.929474,0.602297766,3845.730016,0.400526316,-0.099473684,35.81052632,0.446585486,0.994739067
6942.1,5311.296316,0.557709421,388.2382859,0.040766724,5782.663158,0.607205008,3876.307658,0.324736842,-0.175263158,63.09473684,0.449634029,1.001529491
7809.86,5417.841579,0.568897141,504.6552317,0.052991014,5910.417895,0.620619816,3995.361299,0.448947368,-0.051052632,18.37894737,1.310050443,2.918049053
8786.1,5469.811579,0.574354219,718.560397,0.075451995,5976.281579,0.627535792,4079.119603,0.025263158,-0.474736842,170.9052632,0.019823785,0.044156145
9884.36,5433.862105,0.570579367,1033.739757,0.108547211,5953.770526,0.625172033,4111.459574,0.034210526,-0.465789474,167.6842105,0.023878347,0.073650745
11119.9,5377.052105,0.564614068,1275.265158,0.133908438,5910.265789,0.620603844,4124.666428,0.041052632,-0.458947368,165.2210526,0.028654016,0.088380893
12509.89,5174.195263,0.543313209,1634.231469,0.171601476,5725.046842,0.601155042,4062.880029,0.034736842,-0.465263158,167.4947368,0.030435436,0.093875534
14073.63,5073.517368,0.532741588,1864.048921,0.195733317,5626.851579,0.590844109,4070.885635,0.044210526,-0.455789474,164.0842105,0.034691624,0.107003386
15832.83,4979.268947,0.52284509,2038.105246,0.214009995,5547.994211,0.582563739,4071.610261,0.046315789,-0.453684211,163.3263158,0.040580582,0.125167379
17811.93,4801.396842,0.504167739,2236.713043,0.234864685,5388.213158,0.565786027,4025.510848,0.056842105,-0.443157895,159.5368421,0.044603517,0.137575781
20038.43,4856.070526,0.509908716,2329.419875,0.244599309,5446.822105,0.571940224,4122.743633,0.063157895,-0.436842105,157.2631579,0.049559463,0.152861979
22543.23,4679.696316,0.49138865,2477.283787,0.260125669,5285.168947,0.554965933,4066.811435,0.069473684,-0.430526316,154.9894737,0.054515409,0.168148177
25361.13,4744.087368,0.498149993,2521.980377,0.264819007,5334.201579,0.560114574,4145.105748,0.082105263,-0.417894737,150.4421053,0.064427302,0.198720573
28531.27,4535.257895,0.476221981,2725.737169,0.286214364,5150.124737,0.540785698,4113.494324,0.088421053,-0.411578947,148.1684211,0.069383248,0.214006771
32097.68,4693.322105,0.492819417,2655.468169,0.278835811,5290.226842,0.555497034,4188.270452,0.084210526,-0.415789474,149.6842105,0.082078268,0.253163489
36109.89,4736.902105,0.497395508,2658.114592,0.279113697,5315.183684,0.558117612,4223.726798,0.094736842,-0.405263158,145.8947368,0.092338052,0.284808926
40623.63,4667.941579,0.490154351,2785.928483,0.292534716,5260.953684,0.552423224,4252.967532,0.126315789,-0.373684211,134.5263158,0.099118926,0.305723959
