Frequency,AMPL (mV),% Amplitude,STD (mV),% STD(Ampl),RMS Error (mV),% RMS Error,RMS (Computed),PHASE (Rad),SHIFT (Rad), SHIFT (Deg),MAG STD (Rad),% STD
1054.51,1460.706563,1,99.76209207,0.068297148,62.6940625,0.042920368,99.95621589,0.510166667,0.010166667,-3.66,0.001290994,0.001060229
1186.32,1456.654688,0.997226086,98.88502027,0.067696704,68.79546875,0.047097391,98.90893033,0.511803279,0.011803279,-4.249180328,0.004284934,0.003519001
1334.61,1449.956406,0.992640441,97.79403487,0.066949816,75.955625,0.051999236,97.89860141,0.51,0.01,-3.6,0,0
1501.44,1453.911094,0.995347821,95.93217728,0.065675187,82.94421875,0.056783628,95.93386416,0.513709677,0.013709677,-4.935483871,0.004870073,0.003999547
1689.12,1454.045156,0.9954396,97.73372928,0.06690853,91.26421875,0.062479502,97.73469665,0.519354839,0.019354839,-6.967741935,0.002476756,0.002034035
1900.26,1450.445781,0.992975467,96.84669061,0.066301263,100.7996875,0.069007486,96.93067834,0.512833333,0.012833333,-4.62,0.004544196,0.00373192
2137.79,1449.472188,0.992308945,96.12015701,0.065803878,111.6195313,0.076414753,96.25052088,0.514516129,0.014516129,-5.225806452,0.005017157,0.00412034
2405.02,1450.795313,0.993214756,97.18514607,0.06653297,124.195625,0.085024349,97.25497179,0.521746032,0.021746032,-7.828571429,0.003826766,0.003142731
2705.64,1448.294063,0.9915024,97.48592215,0.066738881,138.9765625,0.095143382,97.68198831,0.523448276,0.023448276,-8.44137931,0.009468642,0.00777612
3043.85,1451.625,0.993782761,97.09203709,0.066469228,154.0345313,0.10545207,97.13400378,0.524032258,0.024032258,-8.651612903,0.004945499,0.00406149
3424.33,1450.397813,0.992942628,97.04947253,0.066440088,172.7575,0.118269818,97.13528902,0.528360656,0.028360656,-10.20983607,0.005531825,0.004543011
3852.37,1447.173125,0.990735006,96.76010341,0.066241986,192.7604688,0.131963855,97.03560189,0.532903226,0.032903226,-11.84516129,0.009647406,0.007922931
4333.92,1442.535313,0.987559959,96.97240902,0.06638733,216.6253125,0.148301732,97.70528988,0.534603175,0.034603175,-12.45714286,0.00894885,0.007349242
4875.66,1441.655625,0.986957724,96.11262234,0.06579872,241.9167188,0.165616233,96.96443042,0.540322581,0.040322581,-14.51612903,0.002540003,0.002085977
5485.12,1438.799063,0.985002121,94.89115056,0.0649625,270.3707813,0.18509589,96.17807575,0.549032258,0.049032258,-17.6516129,0.005343811,0.004388604
6170.76,1433.864531,0.98162394,95.05675662,0.065075874,302.41,0.207029945,97.2665643,0.559365079,0.059365079,-21.37142857,0.005039526,0.00413871
6942.1,1427.680156,0.977390116,94.03855461,0.064378813,338.5207813,0.231751393,97.78282763,0.56,0.06,-21.6,1.07053E-08,8.79173E-09
7809.86,1421.04375,0.972846831,94.54468763,0.064725312,378.3076563,0.258989496,100.2830034,0.564603175,0.064603175,-23.25714286,0.019412782,0.015942744
8786.1,1411.253438,0.966144381,93.72387082,0.06416338,424.190625,0.290400985,103.2119163,0.569375,0.069375,-24.975,0.005,0.004106249
9884.36,1400.705938,0.95892356,92.09076464,0.063045356,473.0740625,0.323866596,106.6412619,0.578095238,0.078095238,-28.11428571,0.02146694,0.017629721
11119.9,1387.808906,0.95009425,91.42791354,0.062591568,525.7245313,0.359911118,113.1551948,0.58578125,0.08578125,-30.88125,0.025185325,0.020683444
12509.89,1371.080625,0.938642066,90.96425029,0.062274144,586.7695313,0.401702537,123.4096859,0.6059375,0.1059375,-38.1375,0.033509949,0.02752004
14073.63,1351.054688,0.924932305,90.09664921,0.061680184,652.9676563,0.447021786,137.1648696,0.60484375,0.10484375,-37.74375,0.033852724,0.027801544
15832.83,1326.2275,0.907935607,88.67419093,0.060706369,721.359375,0.49384277,155.9224676,0.63,0.13,-46.8,0,0
17811.93,1297.3675,0.888178046,88.28509943,0.060439996,796.5995313,0.545352196,180.2181912,0.62140625,0.12140625,-43.70625,0.01125,0.009239061
20038.43,1261.281875,0.86347382,85.2743625,0.058378845,874.1675,0.598455242,211.1805682,0.65625,0.15625,-56.25,0.05,0.041062492
22543.23,1220.659219,0.835663541,83.13016887,0.05691093,961.4167188,0.658186075,248.1587853,0.68,0.18,-64.8,0,0
25361.13,1172.923438,0.802983616,81.23475918,0.055613332,1042.969688,0.714017253,293.0412667,0.686875,0.186875,-67.275,0.065,0.05338124
28531.27,1119.230469,0.766225399,79.0971356,0.054149915,1130.109219,0.773672993,344.4540681,0.71,0.21,-75.6,0,0
32097.68,1058.544688,0.724679901,76.60784354,0.052445745,1213.446406,0.830725648,403.2784812,0.7325,0.2325,-83.7,0.079642056,0.065406026
36109.89,991.8004688,0.678986796,74.35629822,0.050904336,1303.189844,0.892164023,468.6162692,0.7340625,0.2340625,-84.2625,0.048688148,0.039985133
40623.63,918.6225,0.628889144,72.90342796,0.049909701,1380.359844,0.944994621,540.7940182,0.81,0.31,-111.6,0,0
45701.59,841.4429688,0.576052022,70.87858864,0.048523496,1460.128125,0.999604002,617.1208763,0.806875,0.306875,-110.475,0.110652825,0.090873615
51414.29,759.0034375,0.519613903,66.89291556,0.045794903,1527.241875,1.045550088,698.6861321,0.8471875,0.3471875,-124.9875,0.119728115,0.098326695
57841.07,676.6007813,0.463201028,66.05919608,0.045224139,1587.978594,1.087130458,780.6791251,0.87,0.37,-133.2,5.20272E-08,4.27273E-08
65071.2,595.11875,0.407418413,67.28234079,0.046061504,1641.924531,1.124061857,861.9911086,0.9696875,0.4696875,-169.0875,0.057871471,0.047526936
73205.1,516.0453125,0.353284722,65.08158986,0.044554869,1678.813125,1.149315796,940.6887243,1.01328125,0.51328125,-184.78125,0.157973824,0.129735978
82355.74,447.9973438,0.30669907,70.80555414,0.048473496,1708.110938,1.169373084,1008.97015,1.069375,0.569375,-204.975,0.207906229,0.170742957
92650.21,407.3989063,0.278905371,73.45519415,0.05028744,1733.735469,1.186915643,1049.654459,1.21765625,0.71765625,-258.35625,0.343584015,0.282168317
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
