Frequency,AMPL (mV),% Amplitude,STD (mV),% STD(Ampl),RMS Error (mV),% RMS Error,RMS (Computed),PHASE (Rad),SHIFT (Rad), SHIFT (Deg),MAG STD (Rad),% STD
1054.51,1455.3125,1,0.386839969,0.000265812,32.711875,0.022477561,0.917987697,0.51,0.01,-3.6,0,0
1186.32,1451.1225,0.997120893,0.38379262,0.000263718,35.82125,0.024614129,3.379364293,0.500625,0.000625,-0.225,0.002459347,0.002616326
1334.61,1445.395625,0.993185742,0.400563617,0.000275242,39.394375,0.027069358,9.093201876,0.51,0.01,-3.6,0,0
1501.44,1450.071875,0.996398969,0.353940377,0.000243206,43.42,0.029835516,4.422311591,0.5075,0.0075,-2.7,0.004399413,0.004680227
1689.12,1449.437813,0.995963281,0.396002073,0.000272108,48.2028125,0.033121967,5.05771415,0.51,0.01,-3.6,0,0
1900.26,1447.032188,0.994310286,0.405921764,0.000278924,53.8484375,0.037001288,7.458866101,0.50875,0.00875,-3.15,0.003360108,0.003574582
2137.79,1446.435938,0.99390058,0.435259354,0.000299083,59.9684375,0.041206571,8.055829703,0.51,0.01,-3.6,0,0
2405.02,1448.157813,0.995083745,0.418543824,0.000287597,66.679375,0.045817909,6.336026651,0.5196875,0.0196875,-7.0875,0.001767767,0.001880603
2705.64,1445.845313,0.993494739,0.401022759,0.000275558,74.47875,0.051177153,8.643994879,0.51,0.01,-3.6,0,0
3043.85,1450.125313,0.996435688,0.450841395,0.00030979,83.226875,0.057188319,4.377963132,0.52,0.02,-7.2,2.27094E-08,2.41589E-08
3424.33,1449.3825,0.995925274,0.601444498,0.000413275,93.2184375,0.064053897,5.132859021,0.51,0.01,-3.6,0,0
3852.37,1447.59,0.99469358,0.621958406,0.000427371,104.2859375,0.071658793,6.918015052,0.52,0.02,-7.2,2.27094E-08,2.41589E-08
4333.92,1443.68875,0.992012884,0.728758334,0.000500757,117.1678125,0.080510414,10.81582938,0.52,0.02,-7.2,2.27094E-08,2.41589E-08
4875.66,1444.45875,0.99254198,0.705154982,0.000484539,131.3884375,0.090281941,10.04602882,0.534375,0.034375,-12.375,0.011896733,0.012656099
5485.12,1443.608125,0.991957483,0.931573201,0.000640119,147.6625,0.101464462,10.91171364,0.52,0.02,-7.2,2.27094E-08,2.41589E-08
6170.76,1441.15,0.990268413,1.058599196,0.000727403,165.506875,0.113726004,13.37196815,0.52,0.02,-7.2,2.27094E-08,2.41589E-08
6942.1,1437.279063,0.987608546,1.300569005,0.00089367,186.0521875,0.127843461,17.25003567,0.5375,0.0375,-13.5,0.020160645,0.021447495
7809.86,1434.578125,0.98575263,1.576307318,0.00108314,208.8828125,0.143531243,19.96420229,0.55,0.05,-18,0,0
8786.1,1429.403125,0.982196693,2.028247993,0.001393686,234.35,0.161030706,25.15876487,0.54,0.04,-14.4,0.017597654,0.018720908
9884.36,1423.707188,0.9782828,2.411652137,0.001657137,262.94625,0.180680266,30.86716792,0.54,0.04,-14.4,2.14106E-08,2.27773E-08
11119.9,1417.575938,0.974069787,3.082573139,0.002118152,295.0925,0.202769165,37.03258141,0.56,0.06,-21.6,0,0
12509.89,1408.600313,0.967902298,3.726072467,0.002560325,330.596875,0.227165557,46.03074343,0.56,0.06,-21.6,0,0
14073.63,1397.67375,0.960394245,4.692958864,0.003224709,371.1171875,0.255008589,56.99977107,0.56,0.06,-21.6,0,0
15832.83,1383.4675,0.950632596,5.913673058,0.004063507,415.09,0.285223964,71.25830959,0.555,0.055,-19.8,0.019674775,0.020930612
17811.93,1366.8125,0.939188319,7.15264129,0.004914849,464.1175,0.318912605,87.95880191,0.62,0.12,-43.2,0,0
20038.43,1344.548125,0.923889629,9.036020905,0.00620899,517.9496875,0.355902727,110.3026147,0.6,0.1,-36,0,0
22543.23,1317.899063,0.905578055,10.71340564,0.007361584,577.7265625,0.396977668,137.0004728,0.6275,0.1275,-45.9,0.060481935,0.064342485
25361.13,1284.81125,0.882842173,12.9667037,0.00890991,641.1565625,0.440562809,170.16351,0.63,0.13,-46.8,1.31113E-08,1.39482E-08
28531.27,1244.461875,0.855116599,15.16587392,0.010421043,711.4665625,0.488875456,210.5649937,0.68375,0.18375,-66.15,0.055518088,0.059061795
32097.68,1195.960938,0.821789779,17.40382408,0.011958823,786.0421875,0.540119175,259.1042238,0.64,0.14,-50.4,0,0
36109.89,1137.385625,0.781540477,20.31804997,0.013961297,865.2334375,0.594534464,317.744655,0.72,0.22,-79.2,1.07053E-08,1.13886E-08
40623.63,1066.935313,0.733131415,22.51711191,0.015472355,946.3465625,0.650270346,388.1982807,0.70375,0.20375,-73.35,0.10140147,0.107873904
45701.59,985.573125,0.677224393,23.56803774,0.016194486,1028.420625,0.706666524,469.4987858,0.69,0.19,-68.4,1.07053E-08,1.13886E-08
51414.29,889.420625,0.611154391,25.95370033,0.017833764,1111.720625,0.763905089,565.6550997,0.77,0.27,-97.2,2.39378E-08,2.54657E-08
